credit_id,department,gender,crew_id,job,name,profile_part
5630aa66c3a3681b5c00f74e,Production,2,7415,Casting,Rick Montgomery,
52fe45c4c3a36847f80d9623,Writing,2,15244,Writer,Ehren Kruger,/3aC4aA5DKv6fymluT2X6UQ1iKua.jpg
5630aac6c3a3681b5c00f759,Art,0,20777,Production Design,Humphrey Bangham,
5630a9f6c3a3681b4b00ea46,Production,2,43673,Producer,Tom Reeve,
5630aa0b9251414ab700d927,Sound,2,38309,Music,Gast Waltzing,
5630aa1e9251413b46002015,Camera,2,55409,Director of Photography,Ivan Strasburg,
52fe45c4c3a36847f80d9617,Directing,2,179616,Director,Richard Spence,
5630a9dec3a3681b5200f5ef,Production,0,1015394,Producer,Silvio Muraglia,
5630aa53925141285700f164,Editing,0,1181405,Editor,Graham Walker,
5630aa7c925141284c00f92c,Production,1,1398505,Casting,Suzanne M. Smith,
5630aade9251413b46002034,Art,0,1528363,Art Direction,Peter Powis,
5630ab2592514129fe001fb8,Costume & Make-Up,0,1528364,Hair Department Head,David Myers,
5630ab64c3a3681b4d0112d5,Directing,0,1528366,Script Supervisor,Non Eleri Hughes,
57fa9e0dc3a36839100001bd,Writing,2,1692141,Writer,Jeffrey Smith,
59379c1fc3a36827dd000b2f,Directing,2,190103,Director,Alain Desrochers,
59379c5fc3a368277a000ba5,Writing,0,1475225,Writer,Tony Mosher,
59379cab9251417fd3000bc3,Writing,2,119561,Screenplay,John Sullivan,
59379cb89251417f59000c0e,Production,0,1797938,Co-Producer,Vincent Cheng,/74euegD4xIN0HGq7icXqBQlHdxS.jpg
59379cc3c3a36827dd000bcc,Production,0,1409852,Producer,Jeffrey Greenstein,
59379d18c3a3682751000ca0,Production,0,1829792,Executive Producer,Shi Jianxiang,
59379d34c3a368277a000c73,Production,2,17209,Executive Producer,Avi Lerner,/aclgBl6tZg9OLTIISAptIEAh4Ug.jpg
59379d81c3a36827f4000bf1,Production,0,1114855,Producer,Gisella Marengo,/74g3itN41AR3yp4S7HpEtlXRBUy.jpg
59379d94c3a3682811000c79,Production,2,16838,Executive Producer,Steven Paul,
59379da69251417f5d000be7,Production,0,1471673,Co-Executive Producer,Lonnie Ramati,
59379db0c3a36827cf000bae,Production,2,17207,Producer,Les Weldon,
59379dbec3a3682751000d49,Production,0,1409855,Producer,Jonathan Yunger,
595e3bc89251410b8608a351,Sound,0,6991,Music,FM Le Sieur,/aZSMhjaW9OAasgt80Dc8IB4TFvw.jpg
595e3be4925141222b06c530,Camera,0,226464,Director of Photography,Anton Bakarski,
595e3bf792514121f006ca74,Editing,0,1673341,Editor,Éric Drouin,
595e3c099251410bfa08bfa1,Editing,0,1346489,Editor,Paul Harb,
595e3c2b92514121f006cac3,Production,1,61860,Casting,Marianne Stanicheva,/3fQVzQeRaTbqD777xk5OXtEIOCm.jpg
595e3c3e9251410b8608a3e7,Art,2,959506,Production Design,Antonello Rubino,
595e3c50925141225106b2eb,Art,2,1015623,Art Direction,Ivan Ranghelov,
595e3c61c3a368265d084cd0,Art,0,1350235,Art Direction,Alessandro Troso,
595e3c72c3a3680dec05cf4c,Art,0,1271611,Set Decoration,Arta Tozzi,
595e3c979251410b8608a43e,Costume & Make-Up,0,1350256,Costume Design,Anna Gelinova,
595e3cafc3a3680dec05cf8e,Art,0,1345260,Art Department Coordinator,Dobrinka Stamenkova,
595e3cc9925141222b06c63a,Art,0,1368862,Property Master,Dirk Buchmann,
595e3cdf9251415a40058a91,Art,0,1463992,Property Master,Peter Rakovski,
595e3cfd92514121f006cbaa,Directing,0,1350262,Script Supervisor,Mila Maslarova,
595e3d11c3a368253c07ad2a,Sound,1,1528013,Music Supervisor,Selena Arizanovic,
595e3d25c3a36828a10980fe,Production,0,1535105,ADR Voice Casting,Patty Majorczak-Connolly,
595e3d3792514121f006cbe4,Production,0,184314,ADR Voice Casting,Mark Sussman,
595e3d4a9251415a40058b01,Production,0,1773674,Casting Assistant,Katerina Goranova,
595e3ddbc3a36828fc07caed,Camera,0,1412717,Camera Operator,Mihail Yanakiev,
595e3e17c3a368293b08ea1a,Camera,0,1429361,Steadicam Operator,Kiril Valchanov,
595e3e2b925141222b06c771,Camera,2,1542347,Second Unit Director of Photography,Ivan Vatsov,
595e3e53c3a36825e807f721,Camera,0,1845965,Key Grip,Stoyan Georgiev,
595e3e88c3a3680dec05d15f,Visual Effects,2,1544712,Special Effects Supervisor,Ivo Jivkov,
595e3f42c3a36828fc07cc22,Visual Effects,0,1652694,Visual Effects Coordinator,Iveta Tsvetkova,
